"","trait","group","intercept","slope","sd_yhat","delta","r_squared"
"1","bark_thickness","Cold Temperatures (Lower 25%)",-0.00931209875194488,0.00123932169480765,0.0713290240601001,0.185898254221147,0.600440978112595
"2","bark_thickness","High Elevation (Upper 25%)",0.571857939906639,-0.000143788167110569,0.0150548289109057,-0.0215682250665854,0.181438492906815
"3","bark_thickness","High Precipitation (Upper 25%)",0.142267281068485,1.50412317880514e-05,0.0101603996065762,0.00225618476820771,0.00435893118539619
"4","bark_thickness","High Soil pH (Upper 25%)",0.561253886842077,0.000371962744689204,0.0256259899793897,0.0557944117033806,0.419056292654661
"5","bark_thickness","Low Elevation (Lower 25%)",0.477896062748334,-0.00069432471002031,0.0458396750112183,-0.104148706503046,0.456327840788127
"6","bark_thickness","Low Precipitation (Lower 25%)",0.51255717539092,-0.000131300560126444,0.0381867311907661,-0.0196950840189666,0.0235148911397628
"7","bark_thickness","Low Soil pH (Lower 25%)",0.327286085147345,-0.00050243971604468,0.0353432336786958,-0.075365957406702,0.401966760511456
"8","bark_thickness","Sandy Soils (Lower 25%)",0.386870916616056,-0.000437935877842974,0.0339348028425469,-0.065690381676446,0.331257084216768
"9","bark_thickness","Warm Temperatures (Upper 25%)",0.596209082572917,-0.000953514256500656,0.0534789231192097,-0.143027138475098,0.632300984111387
"10","bark_thickness","Water-Retentive Soils (Upper 25%)",0.36540395488905,0.000700851346886091,0.0334751654124835,0.105127702032914,0.871848740198723
"11","conduit_diam","Cold Temperatures (Lower 25%)",-0.501297985151901,-0.00248820049043463,0.121451228551194,-0.373230073565195,0.834837023911548
"12","conduit_diam","High Elevation (Upper 25%)",-0.526794046361235,-0.000296857512326079,0.0179813912858844,-0.0445286268489118,0.542106091417006
"13","conduit_diam","High Precipitation (Upper 25%)",-0.222846679136722,-0.000125245887564569,0.0101331314477889,-0.0187868831346853,0.303860592167918
"14","conduit_diam","High Soil pH (Upper 25%)",-0.517749312408873,-0.000495640803205804,0.0248481802343339,-0.0743461204808706,0.791370232674792
"15","conduit_diam","Low Elevation (Lower 25%)",-0.655618590693382,0.00217318837056305,0.102469374780698,0.325978255584458,0.8946256691201
"16","conduit_diam","Low Precipitation (Lower 25%)",-0.71363548618558,-0.000127720630867438,0.0186170379085233,-0.0191580946301156,0.0936129059833548
"17","conduit_diam","Low Soil pH (Lower 25%)",-0.408685411489517,0.000819301494387553,0.0465453623625397,0.122895224158133,0.616267756436664
"18","conduit_diam","Sandy Soils (Lower 25%)",-0.570619237306118,-0.000222932475872482,0.0226554870487919,-0.0334398713808723,0.192590409021897
"19","conduit_diam","Warm Temperatures (Upper 25%)",-0.627092774149371,0.00297329013334759,0.13936594836197,0.445993520002138,0.905307281782931
"20","conduit_diam","Water-Retentive Soils (Upper 25%)",-0.365085972548141,0.000538143524677508,0.0298811401193293,0.0807215287016262,0.645114335704885
"21","height","Cold Temperatures (Lower 25%)",-0.556381553723556,0.00607998632454107,0.296030623348248,0.91199794868116,0.839009172294407
"22","height","High Elevation (Upper 25%)",-0.617033463518413,0.00788745256231636,0.384962328310148,1.18311788434745,0.834971859471669
"23","height","High Precipitation (Upper 25%)",-0.477194374520963,0.00829965818747796,0.39776550696364,1.24494872812169,0.865966232187838
"24","height","High Soil pH (Upper 25%)",-0.515269856899163,0.00696935612535501,0.336522912344444,1.04540341880325,0.853082080865009
"25","height","Low Elevation (Lower 25%)",-0.516423886272618,0.00969960172467123,0.503765819127876,1.45494025870069,0.737369539916873
"26","height","Low Precipitation (Lower 25%)",-0.468121941208462,0.00702053090313749,0.359464940693362,1.05307963547062,0.758685205732355
"27","height","Low Soil pH (Lower 25%)",-0.372846528184291,0.00831842921845542,0.414386238709495,1.24776438276831,0.801506013511849
"28","height","Sandy Soils (Lower 25%)",-0.432769897255284,0.00764716172349247,0.380997751249378,1.14707425852387,0.801291448743846
"29","height","Warm Temperatures (Upper 25%)",-0.412023379081711,0.00888859784221614,0.463790100708395,1.33328967633242,0.730564135835692
"30","height","Water-Retentive Soils (Upper 25%)",-0.511427613806608,0.00768151421697294,0.370498794207628,1.15222713254594,0.854977848285003
"31","leaf_n","Cold Temperatures (Lower 25%)",-0.47851853895105,-0.00278614997831359,0.135469521576277,-0.417922496747039,0.841318755131411
"32","leaf_n","High Elevation (Upper 25%)",-0.50904156911779,-0.000612102308374231,0.0318035671544694,-0.0918153462561346,0.736768669555455
"33","leaf_n","High Precipitation (Upper 25%)",-0.292686248257221,-0.000638853491204231,0.0299704835503501,-0.0958280236806347,0.903753158377076
"34","leaf_n","High Soil pH (Upper 25%)",-0.416172102141929,-0.000803640072654009,0.03788317703412,-0.120546010898101,0.895086824754493
"35","leaf_n","Low Elevation (Lower 25%)",-0.59972075344194,0.000652755143780837,0.0315140445006237,0.0979132715671255,0.853349819246922
"36","leaf_n","Low Precipitation (Lower 25%)",-0.631277041230085,-0.000451953822393499,0.0303026738586667,-0.0677930733590248,0.442446748060882
"37","leaf_n","Low Soil pH (Lower 25%)",-0.40655116615557,2.56383339738972e-05,0.0168096205506239,0.00384575009608457,0.00462699003315791
"38","leaf_n","Sandy Soils (Lower 25%)",-0.567412287472594,-0.000354425316867995,0.0209661688409144,-0.0531637975301993,0.568389567434209
"39","leaf_n","Warm Temperatures (Upper 25%)",-0.616241419712268,0.00102284168633382,0.0497490697178398,0.153426252950073,0.840778686869152
"40","leaf_n","Water-Retentive Soils (Upper 25%)",-0.31993301864562,-0.000933137730029653,0.0424775713273723,-0.139970659504448,0.959857863537536
"41","seed_dry_mass","Cold Temperatures (Lower 25%)",-0.430118947234435,0.00158042492282589,0.0817982517344939,0.237063738423884,0.742496617203054
"42","seed_dry_mass","High Elevation (Upper 25%)",0.0423228102971568,0.000448252736115818,0.0323601280488252,0.0672379104173728,0.381645563789942
"43","seed_dry_mass","High Precipitation (Upper 25%)",-0.102795381190582,0.000737797598456935,0.0354266361158347,0.11066963976854,0.862679394124347
"44","seed_dry_mass","High Soil pH (Upper 25%)",0.0820401881625212,0.00120849806572272,0.0616116285999371,0.181274709858409,0.765246452169106
"45","seed_dry_mass","Low Elevation (Lower 25%)",-0.33538351324764,0.00343338411508767,0.160880376770245,0.51500761726315,0.905885734806664
"46","seed_dry_mass","Low Precipitation (Lower 25%)",-0.211409188389204,0.00213050910657806,0.103858965719886,0.319576365986708,0.836977120160151
"47","seed_dry_mass","Low Soil pH (Lower 25%)",-0.216890267207812,0.00194206100561899,0.0958740439633567,0.291309150842848,0.816128279868814
"48","seed_dry_mass","Sandy Soils (Lower 25%)",-0.222831904835151,0.0013986059142778,0.0685258142885679,0.20979088714167,0.82854689487549
"49","seed_dry_mass","Warm Temperatures (Upper 25%)",-0.131594797782503,0.00289998253924125,0.133687308734212,0.434997380886187,0.935933921769268
"50","seed_dry_mass","Water-Retentive Soils (Upper 25%)",-0.00623389191327909,0.00239134381093798,0.112648839787058,0.358701571640697,0.896324727655126
"51","shade_tolerance","Cold Temperatures (Lower 25%)",-0.438912128261886,0.00505586024851166,0.237146143529503,0.758379037276749,0.904050668824101
"52","shade_tolerance","High Elevation (Upper 25%)",-0.185473095078114,0.0022946229012046,0.112658811262568,0.344193435180689,0.825138975857865
"53","shade_tolerance","High Precipitation (Upper 25%)",0.208249346494725,0.00226478720000194,0.102205481047231,0.339718080000291,0.976655080349554
"54","shade_tolerance","High Soil pH (Upper 25%)",-0.523581482188959,0.00231580041006965,0.107959813166644,0.347370061510447,0.915193206142642
"55","shade_tolerance","Low Elevation (Lower 25%)",-0.469990485924539,0.00354867587393522,0.162664653603298,0.532301381090283,0.94663174781793
"56","shade_tolerance","Low Precipitation (Lower 25%)",-0.695876691714242,0.00365052071727623,0.174451631728548,0.547578107591435,0.870952251397889
"57","shade_tolerance","Low Soil pH (Lower 25%)",-0.0697724047022414,0.00288910733353491,0.132141631390359,0.433366100030237,0.950786065190144
"58","shade_tolerance","Sandy Soils (Lower 25%)",-0.23488725800656,0.00348102048830902,0.161091850790106,0.522153073246354,0.928754219052959
"59","shade_tolerance","Warm Temperatures (Upper 25%)",-0.377710206113656,0.00193113851064376,0.087541170651738,0.289670776596565,0.967914358485813
"60","shade_tolerance","Water-Retentive Soils (Upper 25%)",-0.40249284144333,0.00251728821981725,0.11496349381503,0.377593232972587,0.95363188270659
"61","specific_leaf_area","Cold Temperatures (Lower 25%)",-0.561339494719638,-0.00181808469815035,0.0869845518728151,-0.272712704722553,0.868917903172567
"62","specific_leaf_area","High Elevation (Upper 25%)",-0.603971207768679,-0.000390585712003277,0.0184363729895625,-0.0585878568004916,0.892722572672905
"63","specific_leaf_area","High Precipitation (Upper 25%)",-0.253344237868587,-0.00033134587457755,0.016769817528815,-0.0497018811866325,0.776499614523009
"64","specific_leaf_area","High Soil pH (Upper 25%)",-0.610328200926782,-0.000355129672394639,0.0187933690404189,-0.0532694508591959,0.710230666826269
"65","specific_leaf_area","Low Elevation (Lower 25%)",-0.566633880525342,0.00171111762312756,0.0794089116455878,0.256667643469134,0.923540667390596
"66","specific_leaf_area","Low Precipitation (Lower 25%)",-0.742516882530192,0.000477629871290738,0.0264916400111205,0.0716444806936107,0.646546929313728
"67","specific_leaf_area","Low Soil pH (Lower 25%)",-0.336382350773882,0.000796849670152236,0.0430160828052799,0.119527450522835,0.682536464599769
"68","specific_leaf_area","Sandy Soils (Lower 25%)",-0.541135395712065,0.000322961369866876,0.0245518145246387,0.0484442054800314,0.344166623361879
"69","specific_leaf_area","Warm Temperatures (Upper 25%)",-0.577450807277204,0.00188175957652216,0.0863020201528663,0.282263936478324,0.945629755401846
"70","specific_leaf_area","Water-Retentive Soils (Upper 25%)",-0.473953879522931,-0.000393543292627888,0.0201551515120841,-0.0590314938941832,0.758311563233953
"71","wood_density","Cold Temperatures (Lower 25%)",-0.631613339527164,0.000526025231032009,0.0499637188922366,0.0789037846548014,0.220464375343455
"72","wood_density","High Elevation (Upper 25%)",-0.471791159941338,-0.000193941921707953,0.012890077187046,-0.029091288256193,0.450263907936429
"73","wood_density","High Precipitation (Upper 25%)",-0.220171893925067,0.000343164330316633,0.0219219419913831,0.0514746495474949,0.487394937164642
"74","wood_density","High Soil pH (Upper 25%)",-0.28302426232092,0.00026015503087526,0.0131787896019452,0.0390232546312891,0.775082963978395
"75","wood_density","Low Elevation (Lower 25%)",-0.333789472860545,0.00202384705992085,0.0992695198402921,0.303577058988127,0.826719765633409
"76","wood_density","Low Precipitation (Lower 25%)",-0.427239609495076,0.00142918684725077,0.0810205665238216,0.214378027087616,0.618902523446288
"77","wood_density","Low Soil pH (Lower 25%)",-0.121882604381275,0.00178833696002243,0.102597128522959,0.268250544003364,0.604314584810222
"78","wood_density","Sandy Soils (Lower 25%)",-0.395859011920639,0.00104036541797016,0.0690797753183058,0.156054812695524,0.451133175831662
"79","wood_density","Warm Temperatures (Upper 25%)",-0.21586048257039,0.00185762624517281,0.0880579264352065,0.278643936775921,0.885145265103584
"80","wood_density","Water-Retentive Soils (Upper 25%)",-0.187584116571104,0.000957202479233054,0.0442105083077906,0.143580371884958,0.932376666287869
